transaction_id,transaction_date,amount,asset_type,user_segment,transaction_frequency,market_volatility,economic_indicator,region,is_weekend,hour_of_day,is_after_hours,risk_score,risk_category,log_amount,amount_zscore,days_since_start
TXN_000001,2023-08-02,7875.66,Bond,Corporate,4,0.3343,0.0767,Asia Pacific,False,20,True,0.2037,Low,3.896342099333641,-0.055293164398047566,1309
TXN_000002,2020-08-16,1355.93,Commodity,Retail,2,0.2398,-0.0024,Asia Pacific,True,4,True,0.3198,Medium,3.1325574442714847,-0.05814704086597868,228
TXN_000003,2020-02-21,1211.51,Stock,Retail,3,0.3248,-0.1221,North America,False,21,True,0.6065,High,3.083685329069691,-0.058210257723041565,51
TXN_000004,2024-02-27,975260.2,Real Estate,Institutional,30,0.2416,-0.1876,North America,False,7,True,0.3164,Medium,5.989120946494998,0.36815933657152705,1518
TXN_000005,2021-07-17,622499.74,Real Estate,High_Net_Worth,2,0.5743,0.11,Asia Pacific,True,2,True,0.2915,Low,5.794139872037213,0.21374576797120853,563
TXN_000006,2021-05-16,495.56,Bond,Institutional,18,0.1547,-0.006,Middle East,True,3,True,0.3728,Medium,2.6959717323773407,-0.05852364997352054,501
TXN_000007,2021-04-02,912.43,Stock,Institutional,6,0.326,0.1158,Europe,False,10,False,0.1848,Low,2.9606752711427795,-0.058341173784600686,457
TXN_000008,2020-10-12,6437.54,Stock,Retail,3,0.1417,0.1945,Europe,False,9,False,0.3435,Medium,3.8087873981317326,-0.05592267157488788,285
TXN_000009,2024-02-17,957778.48,Derivatives,Retail,6,0.2839,0.2463,Asia Pacific,True,18,True,0.6323,High,5.98126552823986,0.36050707653515124,1508
TXN_000010,2020-07-28,2021.22,Forex,Institutional,12,0.1512,0.0512,Europe,False,8,True,0.3468,Medium,3.3058284012988044,-0.05785582397887601,209
TXN_000011,2023-10-17,38557.56,Stock,Retail,2,0.3412,-0.0915,Europe,False,22,True,0.3268,Medium,4.586120806461822,-0.04186279958210954,1385
TXN_000012,2024-02-25,1838.87,Commodity,Retail,8,0.5439,0.0921,North America,True,19,True,0.3887,Medium,3.2647871380762803,-0.05793564390607043,1516
TXN_000013,2023-01-21,4626.74,Stock,Corporate,0,0.0831,0.0474,Europe,True,0,True,0.2906,Low,3.665368951027934,-0.05671531168546449,1116
TXN_000014,2020-06-27,712.13,Stock,Retail,7,0.2272,0.13,Europe,True,14,False,0.2177,Low,2.853168706761129,-0.058428850951680704,178
TXN_000015,2023-04-24,598.04,Stock,High_Net_Worth,4,0.2913,-0.0073,North America,False,20,True,0.2085,Low,2.7774558227219925,-0.058478791480847746,1209
TXN_000016,2022-05-14,9562.22,Bond,Institutional,15,0.065,0.0883,Asia Pacific,True,8,True,0.2586,Low,3.9806041467504976,-0.05455490776843961,864
TXN_000017,2020-03-06,6454.63,Bond,Retail,10,0.3959,0.0082,North America,False,21,True,0.2362,Low,3.809938631137325,-0.055915190782149994,65
TXN_000018,2020-03-02,5094.7,Stock,Retail,7,0.6001,-0.0107,Europe,False,18,True,0.3851,Medium,3.7072038517880985,-0.056510471909594476,61
